Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_Length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway
973,6747,1037,1.11894E+12,16.34,33.189,6451934.125,1872822.992,15.5,7,2,28.77,0,2,101,208,1,0,2,1,967,0,86.31,3
973,6748,1037,1.11894E+12,16.386,35.601,6451935.458,1872825.679,15.5,7,2,28.77,0,2,101,208,1,0,2,1,967,0,86.44,3
973,6749,1037,1.11894E+12,16.502,38.599,6451936.792,1872828.366,15.5,7,2,28.77,0,2,101,208,1,0,2,1,967,0,85.94,2.99
973,6750,1037,1.11894E+12,16.617,41.597,6451938.125,1872831.054,15.5,7,2,28.77,0,2,101,208,1,0,2,1,967,0,85.43,2.97
973,6751,1037,1.11894E+12,16.733,44.594,6451939.459,1872833.741,15.5,7,2,28.77,0,2,101,208,1,0,2,1,967,0,84.89,2.95
973,6752,1037,1.11894E+12,16.552,47.456,6451940.412,1872836.449,15.5,7,2,28.77,-4.56,2,101,208,1,0,2,1,967,0,84.41,2.93
973,6753,1037,1.11894E+12,16.488,50.295,6451941.534,1872839.052,15.5,7,2,28.46,6.83,2,101,208,1,0,2,1,967,0,83.86,2.95
973,6754,1037,1.11894E+12,16.529,53.128,6451942.762,1872841.591,15.5,7,2,28.26,5.7,2,101,208,1,0,2,1,967,0,83.23,2.95
973,6755,1037,1.11894E+12,16.649,55.992,6451944.055,1872844.13,15.5,7,2,27.68,-8.53,2,101,208,1,0,2,1,967,0,82.47,2.98
973,6756,1037,1.11894E+12,16.772,58.711,6451945.314,1872846.667,15.5,7,2,26.58,-11.12,2,101,208,1,0,2,1,967,0,81.78,3.08
973,6757,1037,1.11894E+12,16.9,61.3,6451946.5,1872849.057,15.5,7,2,25.67,-8.04,2,101,208,1,0,2,1,967,0,81.19,3.16
973,6758,1037,1.11894E+12,17.052,63.755,6451947.678,1872851.431,15.5,7,2,25.37,3.34,2,101,208,1,0,2,1,967,0,80.71,3.18
973,6759,1037,1.11894E+12,17.231,66.258,6451948.869,1872853.832,15.5,7,2,25.66,7.11,2,101,208,1,0,2,1,967,0,80.16,3.12
973,6760,1037,1.11894E+12,17.418,68.892,6451950.056,1872856.223,15.5,7,2,26.02,0.32,2,101,208,1,0,2,1,967,0,79.41,3.05
973,6761,1037,1.11894E+12,17.604,71.536,6451951.234,1872858.599,15.5,7,2,25.83,-5.75,2,101,208,1,0,2,1,967,0,78.53,3.04
973,6762,1037,1.11894E+12,17.793,74.075,6451952.358,1872860.864,15.5,7,2,25.37,-4.51,2,101,208,1,0,2,1,967,0,77.69,3.06
973,6763,1037,1.11894E+12,17.954,76.569,6451953.483,1872863.064,15.5,7,2,25.09,-3.12,2,101,208,1,0,2,1,967,0,76.86,3.06
973,6764,1037,1.11894E+12,18.075,79.064,6451954.542,1872865.329,15.5,7,2,24.93,-1.72,2,101,208,1,0,2,1,967,0,76.04,3.05
973,6765,1037,1.11894E+12,18.176,81.569,6451955.556,1872867.649,15.5,7,2,24.65,-4.03,2,101,208,1,0,2,1,967,0,75.15,3.05
973,6766,1037,1.11894E+12,18.296,84.033,6451956.639,1872869.871,15.5,7,2,24.1,-7.07,2,101,208,1,0,2,1,967,0,74.17,3.08
973,6767,1037,1.11894E+12,18.463,86.4,6451957.686,1872872.006,15.5,7,2,23.43,-7.04,2,101,208,1,0,2,1,967,0,73.19,3.12
973,6768,1037,1.11894E+12,18.627,88.686,6451958.723,1872874.029,15.5,7,2,22.87,-5.28,2,101,208,1,0,2,1,967,975,72.28,3.16
